January,1,7:43:00,16:46:00,33°F,19°F,26°F,68°F (1876),-8°F (1970)
January,2,7:43:00,16:47:00,33°F,19°F,26°F,62°F (1876),-3°F (1968)
January,3,7:43:00,16:48:00,32°F,19°F,26°F,61°F (2004),-4°F (1981)
January,4,7:43:00,16:49:00,32°F,19°F,26°F,69°F (1874),-10°F (1981)
January,5,7:43:00,16:50:00,32°F,19°F,25°F,65°F (1998),-14°F (1904)
January,6,7:43:00,16:51:00,32°F,18°F,25°F,60°F (1946),-10°F (1896)
January,7,7:42:00,16:52:00,32°F,18°F,25°F,62°F (2008),-7°F (1942)
January,8,7:42:00,16:53:00,32°F,18°F,25°F,67°F (2008),-10°F (1942)
January,9,7:42:00,16:54:00,32°F,18°F,25°F,65°F (1937),-8°F (1968)
January,10,7:42:00,16:55:00,32°F,18°F,25°F,56°F (1939),-12°F (2004)
January,11,7:41:00,16:56:00,32°F,18°F,25°F,63°F (1975),-14°F (1981)
January,12,7:41:00,16:57:00,32°F,18°F,25°F,57°F (1995),-15°F (1982)
January,13,7:41:00,16:58:00,32°F,18°F,25°F,67°F (1972),-11°F (1914)
January,14,7:40:00,17:00:00,32°F,17°F,25°F,67°F (1995),-10°F (1957)
January,15,7:40:00,17:01:00,31°F,17°F,24°F,68°F (1995),-16°F (1957)
January,16,7:39:00,17:02:00,31°F,17°F,24°F,56°F (1953),-17°F (1994)
January,17,7:39:00,17:03:00,31°F,17°F,24°F,56°F (1990),-10°F (1982)
January,18,7:38:00,17:05:00,31°F,17°F,24°F,62°F (1929),-8°F (1997)
January,19,7:37:00,17:06:00,31°F,17°F,24°F,61°F (1996),-11°F (1994)
January,20,7:37:00,17:07:00,31°F,17°F,24°F,58°F (1951),-9°F (1994)
January,21,7:36:00,17:08:00,31°F,17°F,24°F,71°F (1906),-10°F (2005)
January,22,7:35:00,17:10:00,31°F,17°F,24°F,68°F (1906),-9°F (2005)
January,23,7:35:00,17:11:00,31°F,17°F,24°F,64°F (1906),-14°F (1976)
January,24,7:34:00,17:12:00,31°F,17°F,24°F,64°F (1909),-10°F (1963)
January,25,7:33:00,17:14:00,31°F,17°F,24°F,74°F (1950),-7°F (1945)
January,26,7:32:00,17:15:00,32°F,17°F,24°F,67°F (1950),-10°F (1884)
January,27,7:31:00,17:16:00,32°F,17°F,24°F,63°F (1916),-7°F (1927)
January,28,7:30:00,17:18:00,32°F,17°F,24°F,58°F (1916),-8°F (2005)
January,29,7:29:00,17:19:00,32°F,17°F,24°F,59°F (1914),-9°F (1873)
January,30,7:28:00,17:20:00,32°F,17°F,24°F,55°F (1974),-12°F (1873)
January,31,7:27:00,17:22:00,32°F,17°F,24°F,63°F (1988),-10°F (1994)
February,1,7:26:00,17:23:00,32°F,17°F,25°F,56°F (1988),-10°F (1948)
February,2,7:25:00,17:24:00,32°F,17°F,25°F,59°F (1973),-16°F (1961)
February,3,7:24:00,17:26:00,32°F,17°F,25°F,52°F (1991),-5°F (1951)
February,4,7:23:00,17:27:00,32°F,17°F,25°F,58°F (1991),-8°F (1970)
February,5,7:22:00,17:28:00,32°F,17°F,25°F,65°F (1890),-11°F (1978)
February,6,7:20:00,17:30:00,32°F,17°F,25°F,55°F (1938),-9°F (1948)
February,7,7:19:00,17:31:00,33°F,18°F,25°F,53°F (1925),-9°F (1875)
February,8,7:18:00,17:32:00,33°F,18°F,25°F,63°F (1925),-16°F (1934)
February,9,7:17:00,17:34:00,33°F,18°F,25°F,62°F (2001),-22°F (1934)
February,10,7:15:00,17:35:00,33°F,18°F,25°F,57°F (1881),-11°F (1951)
February,11,7:14:00,17:37:00,33°F,18°F,26°F,70°F (1932),-15°F (1979)
February,12,7:13:00,17:38:00,33°F,18°F,26°F,64°F (1965),-15°F (1979)
February,13,7:11:00,17:39:00,34°F,18°F,26°F,64°F (1984),-12°F (1979)
February,14,7:10:00,17:40:00,34°F,18°F,26°F,56°F (1984),-14°F (1979)
February,15,7:08:00,17:42:00,34°F,18°F,26°F,61°F (1949),-14°F (1943)
February,16,7:07:00,17:43:00,34°F,19°F,26°F,61°F (1921),-7°F (2004)
February,17,7:05:00,17:44:00,34°F,19°F,27°F,60°F (2006),-17°F (1979)
February,18,7:04:00,17:46:00,35°F,19°F,27°F,62°F (1981),-19°F (1979)
February,19,7:02:00,17:47:00,35°F,19°F,27°F,61°F (1994),-7°F (1944)
February,20,7:01:00,17:48:00,35°F,19°F,27°F,62°F (1994),-4°F (1934)
February,21,6:59:00,17:50:00,35°F,20°F,27°F,73°F (1997),-1°F (1993)
